Zeit;Kanal A
(ms);(mV)

-23,36249909;1,86146600
-23,35749909;1,67568900
-23,35249909;2,04785900
-23,34749909;1,48929600
-23,34249909;1,86146600
-23,33749909;1,86146600
-23,33249909;2,04785900
-23,32749909;1,86146600
-23,32249909;1,86146600
-23,31749909;2,04785900
-23,31249909;1,86146600
-23,30749909;2,04785900
-23,30249909;1,86146600
-23,29749909;2,04785900
-23,29249910;2,04785900
-23,28749910;1,11712600
-23,28249910;2,04785900
-23,27749910;2,04785900
-23,27249910;2,79281500
-23,26749910;2,42002900
-23,26249910;1,86146600
-23,25749910;2,60642200
-23,25249910;1,86146600
-23,24749910;1,48929600
-23,24249910;2,79281500
-23,23749910;2,23425200
-23,23249910;2,04785900
-23,22749910;2,42002900
-23,22249910;2,42002900
-23,21749910;2,04785900
-23,21249910;2,23425200
-23,20749910;1,67568900
-23,20249910;2,04785900
-23,19749910;3,35137800
-23,19249910;2,79281500
-23,18749910;2,04785900
-23,18249910;2,23425200
-23,17749910;2,23425200
-23,17249910;0,55856290
-23,16749910;2,79281500
-23,16249910;2,97859200
-23,15749910;3,35137800
-23,15249910;2,79281500
-23,14749910;2,79281500
-23,14249910;2,04785900
-23,13749910;2,97859200
-23,13249910;2,60642200
-23,12749910;2,04785900
-23,12249910;2,04785900
-23,11749910;2,60642200
-23,11249910;2,42002900
-23,10749910;2,23425200
-23,10249910;2,79281500
-23,09749910;2,97859200
-23,09249910;2,42002900
-23,08749910;2,79281500
-23,08249910;2,23425200
-23,07749910;2,79281500
-23,07249910;2,04785900
-23,06749910;2,79281500
-23,06249910;2,79281500
-23,05749910;2,23425200
-23,05249910;2,79281500
-23,04749910;2,04785900
-23,04249910;2,04785900
-23,03749910;2,23425200
-23,03249910;1,86146600
-23,02749910;2,42002900
-23,02249910;1,48929600
-23,01749910;2,04785900
-23,01249910;2,23425200
-23,00749910;2,42002900
-23,00249910;1,48929600
-22,99749910;2,04785900
-22,99249910;2,04785900
-22,98749910;1,11712600
-22,98249910;1,11712600
-22,97749910;1,86146600
-22,97249910;1,30290300
-22,96749910;1,48929600
-22,96249910;1,11712600
-22,95749910;0,37217020
-22,95249910;0,55856290
-22,94749910;1,67568900
-22,94249910;0,55856290
-22,93749910;0,93073320
-22,93249910;0,93073320
-22,92749910;0,93073320
-22,92249910;0,93073320
-22,91749910;1,11712600
-22,91249910;1,67568900
-22,90749910;1,30290300
-22,90249910;1,86146600
-22,89749910;1,30290300
-22,89249911;2,42002900
-22,88749911;2,23425200
-22,88249911;1,86146600
-22,87749911;2,04785900
-22,87249911;2,23425200
-22,86749911;2,60642200
-22,86249911;1,30290300
-22,85749911;1,48929600
-22,85249911;2,42002900
